district_number,district_name,course_number,course_name,W_F,W_M,B_F,B_M,HL_F,HL_M,A_F,A_M,NH_F,NH_M,AI_F,AI_M,MR_F,MR_M,Total_F,Total_M,Total_enrolled,Total_NW,frac_girls,frac_nonwhite
1,ALACHUA,1200310,ALG 1,238,274,283,270,78,85,,17,,,,,28,42,637,689,1326,814,0.480392157,0.61387632
1,ALACHUA,1200320,ALG 1 HON,256,295,70,45,38,37,49,48,,,,,30,27,443,454,897,346,0.49386845,0.385730212
1,ALACHUA,1200330,ALG 2,114,124,83,64,25,34,,,,,,,13,20,242,248,490,252,0.493877551,0.514285714
1,ALACHUA,1200340,ALG 2 HON,191,167,49,34,18,23,29,36,,,,,20,18,308,279,587,229,0.524701874,0.39011925
1,ALACHUA,1200370,ALG 1-A,,,,,,,,,,,,,,,,,,,,
1,ALACHUA,1200380,ALG 1-B,,,,,,,,,,,,,,,,,,,,
1,ALACHUA,1200387,FINANCIAL ALGEBRA,64,106,84,76,21,23,,,,,,,15,12,187,221,408,238,0.458333333,0.583333333
1,ALACHUA,1200400,INTENS MATH,,,56,61,,,,,,,,,,,67,78,145,,0.462068966,
1,ALACHUA,1200700,MATH COLL READINESS,28,57,106,103,23,17,,,,,,,12,13,172,195,367,282,0.46866485,0.768392371
1,ALACHUA,1202300,CALCULUS HON,,,,,,,,,,,,,,,,,14,,,
1,ALACHUA,1202310,AP CALCULUS AB,56,38,,,,,13,,,,,,,,83,55,138,44,0.601449275,0.31884058
1,ALACHUA,1202320,AP CALCULUS BC,23,28,,,,,13,14,,,,,,,41,48,89,38,0.460674157,0.426966292
1,ALACHUA,1202340,PRE-CALCULUS HON,206,173,32,25,18,18,21,13,,,,,11,12,288,241,529,150,0.54442344,0.283553875
1,ALACHUA,1202352,AICE MATH 1 AS,25,20,,,,,,,,,,,,,32,28,60,15,0.533333333,0.25
1,ALACHUA,1202375,IB PRE-CALCULUS,29,25,,,,,13,16,,,,,,,59,54,113,59,0.522123894,0.522123894
1,ALACHUA,1202810,IB CALCULUS/DESC STA,,,,,,,,,,,,,,,14,9,23,,0.608695652,
1,ALACHUA,1202830,IB ADV CALCULUS,13,15,,,,,11,,,,,,,,28,20,48,20,0.583333333,0.416666667
1,ALACHUA,1204000,M/J INTENS MATH (MC),,,,,,,,,,,,,,,,,,,,
1,ALACHUA,1205010,M/J GRADE 6 MATH,160,171,258,334,53,62,,,,,,,41,41,521,617,1138,807,0.457820738,0.70913884
1,ALACHUA,1205020,M/J GRADE 6 MATH ADV,274,258,77,80,44,42,32,18,,,,,24,30,453,430,883,351,0.513023783,0.397508494
1,ALACHUA,1205040,M/J GRADE 7 MATH,153,183,247,285,56,59,,,,,,,29,40,494,577,1071,735,0.461251167,0.68627451
1,ALACHUA,1205050,M/J GRADE 7 MATH ADV,328,295,100,75,50,44,44,38,,,,,42,34,567,486,1053,430,0.538461538,0.408357075
1,ALACHUA,1205070,M/J GRADE 8 PRE-ALG,127,145,243,289,44,52,,,,,,,30,29,452,524,976,704,0.463114754,0.721311475
1,ALACHUA,1206300,INF GEO,57,60,121,136,22,35,,,,,,,11,16,212,251,463,346,0.457883369,0.747300216
1,ALACHUA,1206310,GEO,189,217,195,220,53,66,,21,,,,,34,32,477,556,1033,627,0.461761859,0.60696999
1,ALACHUA,1206320,GEO HON,329,300,84,54,45,39,66,53,,,,,24,35,552,485,1037,408,0.532304725,0.393442623
1,ALACHUA,1207300,LIB ARTS MATH 1,92,103,156,192,33,44,,,,,,,15,23,301,366,667,472,0.451274363,0.707646177
1,ALACHUA,1207310,LIB ARTS MATH 2,,12,16,15,,,,,,,,,,,26,29,55,,0.472727273,
1,ALACHUA,1209800,IB MATH STUDIES,,,,,,,,,,,,,,,13,2,15,,0.866666667,
1,ALACHUA,1209830,IB MATH HL 1,,,,,,,,,,,,,,,,,14,,,
1,ALACHUA,1210300,"PROB, STAT W/APPLS H",53,52,40,27,,,,,,,,,,,109,100,209,104,0.5215311,0.497607656
1,ALACHUA,1210320,AP STAT,73,55,,11,12,10,14,16,,,,,,,116,100,216,88,0.537037037,0.407407407
1,ALACHUA,2000010,M/J LIF SCI,206,207,266,306,63,73,15,18,,,,,32,39,584,646,1230,817,0.474796748,0.664227642
1,ALACHUA,2000020,M/J LIF SCI ADV,247,240,72,47,35,27,41,31,,,,,28,32,425,378,803,316,0.529265255,0.393524284
1,ALACHUA,2000310,BIO 1,130,184,218,260,45,54,,13,,,,,17,24,416,538,954,640,0.4360587,0.670859539
1,ALACHUA,2000320,BIO 1 HON,245,220,88,51,35,23,20,16,,,,,24,15,412,325,737,272,0.559023066,0.369063772
