district_number,district_name,1718s2_seniors,1718s2_students,2017_Median_income,1718s2_white_enrollment,1718s2_black_enrollment,1718s2_hispanic_enrollment,1819s2_FRL,1718s5_daily_attendance,1617s5_abs21days,1718_stability,1718_fed_grad_rate,1718_frl_grad_rate,1718_F_grad_rate,1718_M_grad_rate,1718_W_grad_rate,1718_B_grad_rate,1718_H_grad_rate
1,ALACHUA,2119,29764,45478,0.43,0.35,0.1,0.64,0.937,0.06,0.969,0.88,0.818,0.906,0.852,0.922,0.792,0.837
2,BAKER,335,5044,59506,0.82,0.12,0.02,0.7,0.928,0.15,0.995,0.755,0.636,0.805,0.705,0.749,0.787,0
3,BAY,1748,28076,50283,0.68,0.15,0.08,0.59,0.913,0.13,0.965,0.811,0.736,0.848,0.775,0.83,0.71,0.807
4,BRADFORD,177,3214,46106,0.71,0.22,0.02,0.91,0.903,0.21,0.976,0.89,0.886,0.883,0.896,0.901,0.878,0
5,BREVARD,4818,73524,51536,0.61,0.15,0.14,0.5,0.946,0.07,0.975,0.881,0.814,0.907,0.854,0.893,0.816,0.873
6,BROWARD,21797,271956,54895,0.2,0.39,0.34,0.6,0.936,0.1,0.954,0.843,0.801,0.887,0.799,0.901,0.794,0.855
7,CALHOUN,161,2237,36237,0.77,0.11,0.07,0.84,0.903,0.27,0.977,0.869,0.839,0.857,0.882,0.841,0.967,0
8,CHARLOTTE,1435,15901,46511,0.69,0.09,0.15,0.73,0.939,0.09,0.979,0.876,0.856,0.899,0.852,0.877,0.869,0.87
9,CITRUS,1114,15542,40574,0.8,0.05,0.08,0.65,0.926,0.12,0.968,0.841,0.793,0.878,0.806,0.852,0.712,0.75
10,CLAY,2876,37521,61971,0.65,0.15,0.12,0.49,0.933,0.11,0.98,0.907,0.855,0.926,0.888,0.9,0.911,0.91
11,COLLIER,3112,46832,62407,0.34,0.12,0.5,0.62,0.952,0.05,0.981,0.919,0.891,0.941,0.897,0.951,0.921,0.89
12,COLUMBIA,646,10187,43504,0.64,0.22,0.07,0.83,0.927,0.13,0.983,0.884,0.845,0.892,0.877,0.898,0.85,0.882
13,MIAMI-DADE,27557,354840,46338,0.07,0.2,0.71,0.69,0.938,0.1,0.975,0.854,0.846,0.89,0.819,0.911,0.805,0.861
14,DESOTO,275,4838,35435,0.39,0.12,0.46,0.97,0.927,0.13,0.986,0.609,0.533,0.745,0.5,0.609,0.522,0.627
15,DIXIE,117,2187,35910,0.85,0.08,0.04,0.98,0.917,0.19,0.988,0.969,0.992,1,0.943,0.981,0.923,0
16,DUVAL,7275,129583,51296,0.34,0.44,0.12,0.68,0.918,0.15,0.967,0.851,0.795,0.883,0.817,0.861,0.832,0.843
17,ESCAMBIA,2403,40292,47361,0.48,0.35,0.07,0.72,0.932,0.11,0.962,0.807,0.749,0.845,0.768,0.828,0.762,0.813
18,FLAGLER,996,13026,51049,0.62,0.15,0.14,0.58,0.937,0.1,0.984,0.88,0.847,0.902,0.856,0.895,0.83,0.858
19,FRANKLIN,63,1305,41267,0.76,0.1,0.07,1,0.913,0.17,0.979,0.773,0.654,0.789,0.757,0.721,0,0
20,GADSDEN,239,5317,39830,0.03,0.73,0.21,1,0.954,0.09,0.981,0.661,0.665,0.772,0.548,0.1,0.664,0.727
21,GILCHRIST,181,2673,42934,0.82,0.04,0.1,0.77,0.944,0.07,0.997,0.873,0.825,0.924,0.835,0.907,0,0.563
22,GLADES,71,1675,37385,0.35,0.1,0.37,0.68,0.914,0.29,0.992,0.709,0.696,0.757,0.667,0.733,0.786,0.741
23,GULF,144,1977,44647,0.78,0.13,0.04,0.59,0.922,0.16,0.997,0.821,0.733,0.821,0.821,0.82,0.8,0
24,HAMILTON,89,1651,36209,0.39,0.37,0.19,0.98,0.907,0.25,0.991,0.735,0.75,0.763,0.698,0.822,0.674,0.583
25,HARDEE,293,5206,39063,0.29,0.06,0.63,0.96,0.938,0.11,0.986,0.802,0.815,0.864,0.745,0.74,0.926,0.81
26,HENDRY,475,7336,37966,0.2,0.14,0.65,0.97,0.922,0.17,0.987,0.838,0.831,0.884,0.799,0.898,0.787,0.83
27,HERNANDO,1712,22445,44324,0.65,0.08,0.2,0.82,0.933,0.16,0.98,0.876,0.853,0.926,0.827,0.875,0.86,0.86
28,HIGHLANDS,712,12414,36374,0.43,0.17,0.34,0.82,0.934,0.07,0.979,0.772,0.759,0.84,0.705,0.77,0.725,0.785
29,HILLSBOROUGH,14532,217072,53742,0.33,0.21,0.37,0.59,0.939,0.1,0.947,0.858,0.805,0.888,0.829,0.908,0.794,0.834
30,HOLMES,223,3276,37474,0.89,0.04,0.03,0.83,0.923,0.15,0.983,0.771,0.748,0.779,0.764,0.772,0.818,0
31,INDIAN RIVER,1257,17792,49009,0.54,0.17,0.23,0.58,0.922,0.15,0.986,0.92,0.882,0.947,0.892,0.958,0.819,0.882
32,JACKSON,452,6649,36944,0.57,0.31,0.05,0.75,0.918,0.18,0.983,0.781,0.708,0.789,0.774,0.781,0.785,0.75
33,JEFFERSON,51,722,47599,0.19,0.68,0.11,0.72,0.907,0.18,1,0.734,0.791,0.806,0.667,0.6,0.75,0
